Year,Quarter,Vehicle_Type,Category,Manufacturer,Registration_Count,YoY_Growth,QoQ_Growth
2022,Q1,2W,TWO WHEELER(NT),All,3545553,,
2022,Q2,2W,TWO WHEELER(NT),All,3918923,,10.53
2022,Q3,2W,TWO WHEELER(NT),All,3390268,,-13.49
2022,Q4,2W,TWO WHEELER(NT),All,4711056,,38.96
2023,Q1,2W,TWO WHEELER(NT),All,3987564,,-15.36
2023,Q2,2W,TWO WHEELER(NT),All,4042525,,1.38
2023,Q3,2W,TWO WHEELER(NT),All,3803043,,-5.92
2023,Q4,2W,TWO WHEELER(NT),All,5223287,,37.34
2024,Q1,2W,TWO WHEELER(NT),All,4441378,,-14.97
2024,Q2,2W,TWO WHEELER(NT),All,4566477,,2.82
2024,Q3,2W,TWO WHEELER(NT),All,3997614,,-12.46
2024,Q4,2W,TWO WHEELER(NT),All,5899192,,47.57
2025,Q1,2W,TWO WHEELER(NT),All,4405520,,-25.32
